BioMASSver                             0.22
date                             2013/12/18
hour                               11:56:05
biomass.model.physiology.Plankton2
Generic                       
Plankton                      
longevity                             36499
linf                                 0.0000
t0                                   0.0000
k                                    0.5000
a                                    0.0000
b                                    0.0000
newborn_orgs                            400
pop_deathrate                        0.0007
rep_cycle                             18250
age_classes                               2
                         steps       orgs00        hid00     killed00    starved00   leanmass00    fatmass00   killmass00  starvemas00       orgs01        hid01     killed01    starved01   leanmass01    fatmass01   killmass01  starvemas01
                             0          400            0            0            0   56967.5468   26808.2573       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          3600          400            0            0            0   48206.5880   22685.4532   13323.2762       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          7200          400            0            0            0   48603.4666   22872.2196   13323.2762       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         10800          400            0            0            0   42597.0052   20045.6495   24905.3884       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         14400          400            0            0            0   43105.1868   20284.7938   24905.3884       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         18000          400            0            0            0   38921.7785   18316.1311   35914.0738       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         21600          400            0            0            0   39531.0440   18602.8442   35914.0738       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         25200          400            0            0            0   40060.9643   18852.2185   35914.0738       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         28800          400            0            0            0   36855.6173   17343.8199   46134.8115       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         32400          400            0            0            0   37955.3709   17861.3510   46134.8115       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         36000          400            0            0            0   36868.2308   17349.7557   56475.6123       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         39600          400            0            0            0   37799.6047   17788.0493   56475.6123       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         43200          400            0            0            0   38798.8293   18258.2726   56475.6123       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         46800          400            0            0            0   39418.8917   18550.0667   67668.1501       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         50400          400            0            0            0   41274.8473   19423.4575   67668.1501       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         54000          400            0            0            0   41674.7474   19611.6459   80219.7074       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         57600          400            0            0            0   43722.8573   20575.4623   80219.7074       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         61200          400            0            0            0   45101.5815   21224.2737   94005.9539       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         64800          400            0            0            0   46434.6513   21851.6006   94005.9539       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         68400          400            0            0            0   48527.5741   22836.5055   94005.9539       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         72000          400            0            0            0   50285.6886   23663.8535  108882.2198       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         75600          400            0            0            0   52084.7719   24510.4809  108882.2198       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         79200          400            0            0            0   53695.3418   25268.3962  124258.6769       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         82800          400            0            0            0   55034.3627   25898.5236  124258.6769       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         86400          400            0            0            0   56597.2732   26634.0109  124258.6769       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         90000          400            0            0            0   56967.4584   26808.2157  140538.5198       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         93600          400            0            0            0   56967.5467   26808.2573  140538.5198       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         97200          400            0            0            0   56966.3141   26807.6772  156464.4212       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        100800          400            0            0            0   56967.5457   26808.2568  156464.4212       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        104400          400            0            0            0   56948.2616   26799.1819  172414.6557       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        108000          400            0            0            0   56967.5297   26808.2492  172414.6557       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        111600          400            0            0            0   56967.5468   26808.2573  172414.6557       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        115200          400            0            0            0   56967.3032   26808.1427  189231.6648       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        118800          400            0            0            0   56967.5466   26808.2572  189231.6648       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        122400          400            0            0            0   56963.1562   26806.1912  205338.9604       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
