BioMASSver                             0.22
date                             2014/01/04
hour                               17:36:07
biomass.model.physiology.Plankton2
Generic                       
Plankton                      
longevity                             36499
linf                                 0.0000
t0                                   0.0000
k                                    0.5000
a                                    0.0000
b                                    0.0000
newborn_orgs                              4
pop_deathrate                        0.0007
rep_cycle                             18250
age_classes                               2
                         steps       orgs00        hid00     killed00    starved00   leanmass00    fatmass00   killmass00  starvemas00       orgs01        hid01     killed01    starved01   leanmass01    fatmass01   killmass01  starvemas01
                             0            4            0            0            0    1780.2358     837.7580       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          3600            4            0            0            0     159.2718      74.9514    2383.7707       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          7200            4            0            0            0     159.2718      74.9514    2383.7707       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         10800            4            0            0            0     124.4560      58.5675    2434.9703       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         14400            4            0            0            0     124.4560      58.5675    2434.9703       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         18000            4            0            0            0     124.4560      58.5675    2434.9703       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         21600            4            0            0            0     124.4560      58.5675    2434.9703       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         25200            4            0            0            0     124.4560      58.5675    2434.9703       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         28800            4            0            0            0     537.9958     253.1745    3542.5960       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         32400            4            0            0            0     538.2614     253.2995    3542.5960       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         36000            4            0            0            0     536.2622     252.3587    9973.7175       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         39600            4            0            0            0     793.5452     373.4331    9973.7175       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         43200            4            0            0            0     951.8693     447.9385    9973.7175       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         46800            4            0            0            0     952.2210     448.1040   11775.1226       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         50400            4            0            0            0     952.2275     448.1071   11775.1226       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         54000            4            0            0            0    1366.1694     642.9032   12453.8504       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         57600            4            0            0            0    1366.2302     642.9319   12453.8504       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         61200            4            0            0            0    1365.2768     642.4832   13013.7441       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         64800            4            0            0            0    1366.2293     642.9314   13013.7441       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         68400            4            0            0            0    1366.2303     642.9319   13013.7441       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         72000            4            0            0            0    1366.2210     642.9275   13318.6084       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         75600            4            0            0            0    1366.2303     642.9319   13318.6084       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         79200            4            0            0            0    1365.9862     642.8171   14508.8669       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         82800            4            0            0            0    1713.2932     806.2556   14508.8669       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         86400            4            0            0            0    1780.1460     837.7157   14508.8669       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         90000            4            0            0            0    1780.2358     837.7580   14695.1625       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         93600            4            0            0            0    1780.2358     837.7580   14695.1625       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         97200            4            0            0            0    1780.1939     837.7383   15047.6378       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        100800            4            0            0            0    1780.2358     837.7580   15047.6378       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        104400            4            0            0            0    1778.7746     837.0704   15822.9092       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        108000            4            0            0            0    1780.2344     837.7574   15822.9092       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        111600            4            0            0            0    1780.2358     837.7580   15822.9092       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        115200            4            0            0            0    1780.1907     837.7368   17414.5391       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        118800            4            0            0            0    1780.2358     837.7580   17414.5391       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        122400            4            0            0            0    1780.1820     837.7327   18958.7929       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        126000            4            0            0            0    1780.2358     837.7580   18958.7929       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        129600            4            0            0            0    1780.2358     837.7580   18958.7929       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        133200            4            0            0            0    1780.2358     837.7580   20618.3287       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        136800            4            0            0            0    1780.2358     837.7580   20618.3287       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        140400            4            0            0            0    1780.2355     837.7579   21293.5864       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        144000            4            0            0            0    1780.2358     837.7580   21293.5864       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        147600            4            0            0            0    1780.1564     837.7206   21852.9391       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        151200            4            0            0            0    1780.2358     837.7580   21852.9391       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        154800            4            0            0            0    1780.2358     837.7580   21852.9391       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
