BioMASSver                             0.22
date                             2017/11/15
hour                               15:53:46
biomass.model.taxonomy.Planktivore1
Girella-Nigricans             
Chopa-verde                   
longevity                              3904
linf                                68.3000
t0                                  -0.4200
k                                    0.2700
a                                    0.0199
b                                    3.0063
newborn_orgs                            800
pop_deathrate                        0.0007
rep_cycle                               365
age_classes                              11
                         steps       orgs00        hid00     killed00    starved00   leanmass00    fatmass00   killmass00  starvemas00       orgs01        hid01     killed01    starved01   leanmass01    fatmass01   killmass01  starvemas01       orgs02        hid02     killed02    starved02   leanmass02    fatmass02   killmass02  starvemas02       orgs03        hid03     killed03    starved03   leanmass03    fatmass03   killmass03  starvemas03       orgs04        hid04     killed04    starved04   leanmass04    fatmass04   killmass04  starvemas04       orgs05        hid05     killed05    starved05   leanmass05    fatmass05   killmass05  starvemas05       orgs06        hid06     killed06    starved06   leanmass06    fatmass06   killmass06  starvemas06       orgs07        hid07     killed07    starved07   leanmass07    fatmass07   killmass07  starvemas07       orgs08        hid08     killed08    starved08   leanmass08    fatmass08   killmass08  starvemas08       orgs09        hid09     killed09    starved09   leanmass09    fatmass09   killmass09  starvemas09       orgs10        hid10     killed10    starved10   leanmass10    fatmass10   killmass10  starvemas10
                             0            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          800            0            0            0  839065.6580  170705.9868       0.0000       0.0000          623            0            0            0 1129481.4961  229415.9257       0.0000       0.0000          485            0            0            0 1251363.6675  252098.8327       0.0000       0.0000          377            0            0            0 1242278.9432  255113.8213       0.0000       0.0000          294            0            0            0 1154974.3334  250499.9911       0.0000       0.0000          229            0            0            0 1018413.4447  199237.7419       0.0000       0.0000          178            0            0            0  872080.7236  166892.1387       0.0000       0.0000          139            0            0            0  730999.7154  142204.9995       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          3600            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          632           42          168            0  667726.6654  136988.9798  205074.2241       0.0000          550           20           73            0 1003956.3399  208276.1321  146784.0952       0.0000          452           24           33            0 1168448.6594  239044.7921   96053.6954       0.0000          368           16            9            0 1212685.8622  248949.3036   35879.0100       0.0000          287            9            7            0 1127212.1294  244540.3803   33967.9825       0.0000          224            3            5            0  996330.9444  194900.5318   26562.5530       0.0000          176            5            2            0  862349.5914  165374.3222   11603.0487       0.0000          137            3            2            0  720380.9833  140409.7681   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          7200            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          632           42          168            0  667729.0908  137030.7082  205074.2241       0.0000          550           20           73            0 1003958.8167  208378.1082  146784.0952       0.0000          452           24           33            0 1168451.2754  239211.9163   96053.6954       0.0000          368           16            9            0 1212687.8342  249089.2062   35879.0100       0.0000          287            9            7            0 1127213.2496  244662.9163   33967.9825       0.0000          224            3            5            0  996331.7579  195149.9060   26562.5530       0.0000          176            5            2            0  862350.1875  165704.6270   11603.0487       0.0000          137            3            2            0  720381.1257  140579.1105   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         10800            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          611           95          189            0  645789.3733  131916.7244  232306.9396       0.0000          545           81           78            0  995176.8106  207473.9817  156661.9591       0.0000          449           73           36            0 1161027.6176  237788.5876  105419.0838       0.0000          367           43           10            0 1209156.4468  248875.5669   40026.3997       0.0000          286           23            8            0 1123320.3719  244133.8908   38679.9612       0.0000          224           14            5            0  996332.8118  195761.5422   26562.5530       0.0000          176           12            2            0  862351.1245  166104.5996   11603.0487       0.0000          137           19            2            0  720381.7523  141289.5595   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         14400            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          611           95          189            0  645795.4512  132091.3196  232306.9396       0.0000          545           81           78            0  995184.1767  207987.9198  156661.9591       0.0000          449           73           36            0 1161033.6303  238720.4988  105419.0838       0.0000          367           43           10            0 1209160.1862  249404.3156   40026.3997       0.0000          286           23            8            0 1123322.9649  244460.9097   38679.9612       0.0000          224           14            5            0  996334.1976  195983.0591   26562.5530       0.0000          176           12            2            0  862352.2804  166591.7459   11603.0487       0.0000          137           19            2            0  720382.2706  141799.0081   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         18000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          594          213          206            0  629580.9051  129398.4393  251461.1691       0.0000          540          206           83            0  986672.8604  206517.9511  167081.8709       0.0000          447          167           38            0 1155572.7122  238657.1233  111737.2635       0.0000          365          127           12            0 1202400.7257  249240.2374   48042.5888       0.0000          285          133            9            0 1119307.3816  244537.4271   43658.6532       0.0000          224           79            5            0  996336.7577  197012.2127   26562.5530       0.0000          176           67            2            0  862353.7260  167724.6827   11603.0487       0.0000          137           69            2            0  720383.5631  143111.0013   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         21600            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          594          213          206            0  629588.1907  129698.7612  251461.1691       0.0000          540          206           83            0  986681.9184  207621.7388  167081.8709       0.0000          447          167           38            0 1155583.6261  240416.0071  111737.2635       0.0000          365          127           12            0 1202405.8957  250447.0942   48042.5888       0.0000          285          133            9            0 1119311.7900  246358.4837   43658.6532       0.0000          224           79            5            0  996339.5773  198426.6049   26562.5530       0.0000          176           67            2            0  862355.9649  169585.6641   11603.0487       0.0000          137           69            2            0  720384.9282  144605.4430   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         25200            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          594          213          206            0  629599.5885  130203.0233  251461.1691       0.0000          540          206           83            0  986694.0478  208511.3263  167081.8709       0.0000          447          167           38            0 1155595.5408  242048.9052  111737.2635       0.0000          365          127           12            0 1202414.9955  252239.8982   48042.5888       0.0000          285          133            9            0 1119317.4228  247946.2680   43658.6532       0.0000          224           79            5            0  996342.5062  199371.0004   26562.5530       0.0000          176           67            2            0  862358.2177  170827.7559   11603.0487       0.0000          137           69            2            0  720385.9088  145264.6064   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         28800            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          584          362          216            0  620430.3550  129529.4099  262345.5776       0.0000          537          352           86            0  981201.5267  208716.3258  173185.8956       0.0000          446          323           39            0 1152807.0564  243240.3707  114655.3699       0.0000          365          256           12            0 1202425.3562  254707.6703   48042.5888       0.0000          285          238            9            0 1119323.9438  250066.6493   43658.6532       0.0000          224          164            5            0  996346.9874  201251.6830   26562.5530       0.0000          176          130            2            0  862360.5319  172268.7749   11603.0487       0.0000          137          123            2            0  720388.1195  147039.8671   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         32400            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          584          362          216            0  620447.5795  130502.9606  262345.5776       0.0000          537          352           86            0  981217.9996  209901.2388  173185.8956       0.0000          446          323           39            0 1152822.4731  245315.2338  114655.3699       0.0000          365          256           12            0 1202439.5805  257039.1363   48042.5888       0.0000          285          238            9            0 1119326.7835  250889.0141   43658.6532       0.0000          224          164            5            0  996349.8235  202305.9562   26562.5530       0.0000          176          130            2            0  862364.4030  174000.3741   11603.0487       0.0000          137          123            2            0  720388.6941  147548.6528   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         36000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          567          514          233            0  603228.8343  127548.8776  283115.3963       0.0000          530          476           93            0  969309.3806  209161.7615  187143.6305       0.0000          443          433           42            0 1144878.2659  245144.6325  123803.2224       0.0000          360          333           17            0 1186575.1400  255626.8059   66997.4954       0.0000          283          297           11            0 1111407.8864  250898.6784   53790.2512       0.0000          224          206            5            0  996356.0240  203894.6368   26562.5530       0.0000          176          168            2            0  862368.0973  175782.4631   11603.0487       0.0000          137          147            2            0  720390.8421  148872.9406   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         39600            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          567          514          233            0  603257.6714  128840.8061  283115.3963       0.0000          530          476           93            0  969336.4198  211490.7716  187143.6305       0.0000          443          433           42            0 1144890.7654  246665.8286  123803.2224       0.0000          360          333           17            0 1186583.1411  257095.5485   66997.4954       0.0000          283          297           11            0 1111415.4322  252875.1358   53790.2512       0.0000          224          206            5            0  996360.6444  205600.3458   26562.5530       0.0000          176          168            2            0  862371.3923  177332.0523   11603.0487       0.0000          137          147            2            0  720393.8270  150855.3782   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         43200            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          567          514          233            0  603275.1141  129585.0263  283115.3963       0.0000          530          476           93            0  969359.0097  213147.4908  187143.6305       0.0000          443          433           42            0 1144905.2797  248362.5668  123803.2224       0.0000          360          333           17            0 1186599.4407  259760.9947   66997.4954       0.0000          283          297           11            0 1111422.1445  254536.1865   53790.2512       0.0000          224          206            5            0  996366.8853  207767.1441   26562.5530       0.0000          176          168            2            0  862374.4888  178712.9873   11603.0487       0.0000          137          147            2            0  720397.9853  153288.6833   12541.1057       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
