BioMASSver                             0.22
date                             2014/01/04
hour                               17:36:07
refuges                                   0
refs_minrad                    179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
refs_maxrad                          0.0000
refs_areafrac                        0.0000
refs_disp                               NaN
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                   161792382137608420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000    -Infinity    -Infinity    -Infinity    -Infinity    -Infinity    -Infinity    -Infinity    -Infinity    -Infinity
refs_count                                0            0            0            0            0            0            0            0            0            0
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            0            0            0            0            0            0            0            0            0            0
                          7200            0            0            0            0            0            0            0            0            0            0
                         10800            0            0            0            0            0            0            0            0            0            0
                         14400            0            0            0            0            0            0            0            0            0            0
                         18000            0            0            0            0            0            0            0            0            0            0
                         21600            0            0            0            0            0            0            0            0            0            0
                         25200            0            0            0            0            0            0            0            0            0            0
                         28800            0            0            0            0            0            0            0            0            0            0
                         32400            0            0            0            0            0            0            0            0            0            0
                         36000            0            0            0            0            0            0            0            0            0            0
                         39600            0            0            0            0            0            0            0            0            0            0
                         43200            0            0            0            0            0            0            0            0            0            0
                         46800            0            0            0            0            0            0            0            0            0            0
                         50400            0            0            0            0            0            0            0            0            0            0
                         54000            0            0            0            0            0            0            0            0            0            0
                         57600            0            0            0            0            0            0            0            0            0            0
                         61200            0            0            0            0            0            0            0            0            0            0
                         64800            0            0            0            0            0            0            0            0            0            0
                         68400            0            0            0            0            0            0            0            0            0            0
                         72000            0            0            0            0            0            0            0            0            0            0
                         75600            0            0            0            0            0            0            0            0            0            0
                         79200            0            0            0            0            0            0            0            0            0            0
                         82800            0            0            0            0            0            0            0            0            0            0
                         86400            0            0            0            0            0            0            0            0            0            0
                         90000            0            0            0            0            0            0            0            0            0            0
                         93600            0            0            0            0            0            0            0            0            0            0
                         97200            0            0            0            0            0            0            0            0            0            0
                        100800            0            0            0            0            0            0            0            0            0            0
                        104400            0            0            0            0            0            0            0            0            0            0
                        108000            0            0            0            0            0            0            0            0            0            0
                        111600            0            0            0            0            0            0            0            0            0            0
                        115200            0            0            0            0            0            0            0            0            0            0
                        118800            0            0            0            0            0            0            0            0            0            0
                        122400            0            0            0            0            0            0            0            0            0            0
                        126000            0            0            0            0            0            0            0            0            0            0
                        129600            0            0            0            0            0            0            0            0            0            0
                        133200            0            0            0            0            0            0            0            0            0            0
                        136800            0            0            0            0            0            0            0            0            0            0
                        140400            0            0            0            0            0            0            0            0            0            0
                        144000            0            0            0            0            0            0            0            0            0            0
                        147600            0            0            0        
