BioMASSver                             0.22
date                             2023/05/16
hour                               13:03:38
refuges                                 260
refs_minrad                         51.8136
refs_maxrad                        249.3115
refs_areafrac                        0.0100
refs_disp                        11813.0182
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        71.5634      91.3132     111.0630     130.8128     150.5626     170.3124     190.0621     209.8119     229.5617     249.3115
refs_count                               31           26           29           22           27           22           31           30           18           24
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            0           12            7            3            6            8           29           37           10           88
                          7200            0           12            7            3            6            8           29           37           10           88
                         10800            7           22           14           15           28           14           51           86           34          126
                         14400            7           22           14           15           28           14           51           86           34          126
                         18000           87           91           87           68          127           22          144          195          122          250
                         21600           87           91           87           68          127           22          144          195          122          250
                         25200           87           91           87           68          127           22          144          195          122          250
                         28800          168          198          156          189          221           99          235          278          218          337
                         32400          168          198          156          189          221           99          235          278          218          337
                         36000          220          285          213          278          286          126          293          324          255          414
                         39600          220          285          213          278          286          126          293          324          255          414
                         43200          220          285          213          278          286          126          293          324          255          414
                         46800          248          341          273          328          334          140          340          376          286          453
                         50400          248          341          273          328          334          140          340          376          286          453
                         54000          281          385          326          359          379          160          374          464          303          495
                         57600          281          385          326          359          379          160          374          464          303          495
                         61200          303          433          356          401          422          175          408          530          317          537
                         64800          303          433          356          401          422          175          408          530          317          537
                         68400          303          433          356          401          422          175          408          530          317          537
                         72000          334          462          394          431          468          189          440          577          345          577
                         75600          334          462          394          431          468          189          440          577          345          577
                         79200          366          498          422          450          502          205          469          623          359          604
                         82800          366          498          422          450          502          205          469          623          359          604
                         86400          366          498          422          450          502          205          469          623          359          604
                         90000          399          533          456          484          530          218          494          668          386          642
                         93600          399          533          456          484          530          218          494          668          386          642
                         97200          423          642          481          521          574          226          532          707          407          678
                        100800          423          642          481          521          574          226          532          707          407          678
                        104400          445          667          513          553          599          241          555          736          420          694
                        108000          445          667          513          553          599          241          555          736          420          694
                        111600          445          667          513          553          599          241          555          736          420          694
                        115200          465          695          541          583          627          249          592          763          440          719
                        118800          465          695          541          583          627          249          592          763          440          719
                        122400          490          731          574          614          654          257          615          781          464          747
                        126000          490          731          574          614          654          257          615          781          464          747
                        129600          490          731          574          614          654          257          615          781          464          747
                        133200          510          774          600          634          674          268          646          822          480          765
                        136800          510          774          600          634          674          268          646          822          480          765
                        140400          537          811          637          660          707          274          670          847          493          814
                        144000          537          811          637          660          707          274          670          847          493          814
                        147600          550          854          663          692          730          287          700          877          502          846
                        151200          550          854          663          692          730          287          700          877          502          846
                        154800          550          854          663          692          730          287          700          877          502          846
                        158400          572          890          691          720          769          299          720          911          518          878
                        162000          572          890          691          720          769          299          720          911          518          878
                        165600          612          911          720          740          798          310          744          949          534          898
                        169200          612          911          720          740          798          310          744          949          534          898
                        172800          612          911          720          740          798          310          744          949          534          898
                        176400          639          932          753          764          817          321          766          980          547          922
                        180000          639          932          753          764          817          321          766          980          547          922
                        183600          662          957          775          795          841          327          800         1016          560          968
                        187200          662          957          775          795          841          327          800         1016          560          968
                        190800          680          974          804          818          862          342          828         1063          570          991
                        194400          680          974          804          818          862          342          828         1063          570          991
                        198000          680          974          804          818          862          342          828         1063          570          991
                        201600          704          999          842          847          881          351          863         1094          586         1011
                        205200          704          999          842          847          881          351          863         1094          586         1011
                        208800          726         1032          879          880          899          379          895         1113          596         1034
                        212400          726         1032          879          880          899          379          895         1113          596         1034
                        216000          726         1032          879          880          899          379          895         1113          596         1034
                        219600          746         1066          916          901          919          385          917         1145          615         1055
                        223200          746         1066          916          901          919          385          917         1145          615         1055
                        226800          761         1090          948          922          943          390          940         1168          633         1078
                        230400          761         1090          948          922          943          390          940         1168          633         1078
                        234000          777         1123          978          946          956          404          961         1189          648         1151
                        237600          777         1123          978          946          956          404          961         1189          648         1151
                        241200          777         1123          978          946          956          404          961         1189          648         1151
                        244800          800         1144         1009          970          972          409          984         1224          661         1175
                        248400          800         1144         1009          970          972          409          984         1224          661         1175
                        252000          813         1165         1035          988          995          416         1003         1243          668         1203
                        255600          813         1165         1035          988          995          416         1003         1243          668         1203
                        259200          813         1165         1035          988          995          416         1003         1243          668         1203
                        262800          836         1188         1060         1006         1006          425         1034         1270          676         1224
                        266400          836         1188         1060         1006         1006          425         1034         1270          676         1224
                        270000          850         1220         1081         1029         1020          440         1054         1319          682         1253
                        273600          850         1220         1081         1029         1020          440         1054         1319          682         1253
                        277200          863         1237         1102         1042         1032          455         1072         1371          698         1269
                        280800          863         1237         1102         1042         1032          455         1072         1371          698         1269
                        284400          863         1237         1102         1042         1032          455         1072         1371          698         1269
                        288000          885         1259         1121         1064         1043          462         1098         1389          710         1282
                        291600          885         1259         1121         1064         1043          462         1098         1389          710         1282
                        295200          897         1286         1138         1086         1058          473         1121         1403          725         1297
                        298800          897         1286         1138         1086         1058          473         1121         1403          725         1297
                        302400          897         1286         1138         1086         1058          473         1121         1403          725         1297
                        306000          911         1332         1159         1099         1079          476         1129         1433          741         1319
                        309600          911         1332         1159         1099         1079          476         1129         1433          741         1319
                        313200          922         1359         1183         1111         1094          480         1144         1455          752         1332
                        316800          922         1359         1183         1111         1094          480         1144         1455          752         1332
                        320400          937         1378         1203         1135         1105          488         1153         1475          761         1378
                        324000          937         1378         1203         1135         1105          488         1153         1475          761         1378
                        327600          937         1378         1203         1135         1105          488         1153         1475          761         1378
                        331200          961         1397         1218         1147         1119          493         1162         1502          776         1401
                        334800          961         1397         1218         1147         1119          493         1162         1502          776         1401
                        338400          974         1416         1236         1158         1139          502         1173         1524          781         1422
                        342000          974         1416         1236         1158         1139          502         1173         1524          781         1422
                        345600          974         1416         1236         1158         1139          502         1173         1524          781         1422
                        349200          991         1434         1248         1169         1148          506         1192         1543          787         1438
                        352800          991         1434         1248         1169         1148          506         1192         1543          787         1438
                        356400         1011         1459         1270         1186         1159          517         1202         1577          800         1449
                        360000         1011         1459         1270         1186         1159          517         1202         1577          800         1449
                        363600         1026         1475         1278         1201         1172          529         1209         1597          807         1460
                        367200         1026         1475         1278         1201         1172          529         1209         1597          807         1460
                        370800         1026         1475         1278         1201         1172          529         1209         1597          807         1460
                        374400         1040         1495         1298         1222         1183          544         1223         1615          811         1475
                        378000         1040         1495         1298         1222         1183          544         1223         1615          811         1475
                        381600         1055         1510         1315         1240         1199          558         1235         1631          816         1493
                        385200         1055         1510         1315         1240         1199          558         1235         1631          816         1493
                        388800         1055         1510         1315         1240         1199          558         1235         1631          816         1493
                        392400         1070         1527         1326         1258         1214          568         1249         1659          824         1508
                        396000         1070         1527         1326         1258         1214          568         1249         1659          824         1508
                        399600         1078         1550         1341         1276         1229          572         1258         1674          830         1529
                        403200         1078         1550         1341         1276         1229          572         1258         1674          830         1529
                        406800         1093         1579         1354         1290         1235          576         1262         1696          840         1537
                        410400         1093         1579         1354         1290         1235          576         1262         1696          840         1537
                        414000         1093         1579         1354         1290         1235          576         1262         1696          840         1537
                        417600         1101         1592         1361         1304         1250          582         1273         1710          852         1549
                        421200         1101         1592         1361         1304         1250          582         1273         1710          852         1549
                        424800         1110         1612         1371         1314         1260          590         1281         1725          860         1558
                        428400         1110         1612         1371         1314         1260          590         1281         1725          860         1558
                        432000         1110         1612         1371         1314         1260          590         1281         1725          860         1558
                        435600         1118         1625         1385         1323         1274          597         1302         1735          870         1575
                        439200         1118         1625         1385         1323         1274          597         1302         1735          870         1575
